sample_id	K	island	tree_id	fig_id	Group	Posterior
may_2017_A11.bam	9	ishigaki	22	22-2	8	0
may_2017_A12.bam	9	iriomote	72	72-17	8	0
may_2017_B11.bam	9	ishigaki	22	22-2	8	0
may_2017_B12.bam	9	ishigaki	22	22-2	8	0
may_2017_C11.bam	9	iriomote	72	72-17	8	0
may_2017_C12.bam	9	ishigaki	44	44-1	8	0
may_2017_D11.bam	9	iriomote	72	72-17	8	0
may_2017_D12.bam	9	ishigaki	44	44-2	8	1
may_2017_E11.bam	9	iriomote	72	72-16	8	0
may_2017_E12.bam	9	ishigaki	44	44-2	8	1
may_2017_F11.bam	9	yonaguni	89	89-4	8	0
may_2017_G12.bam	9	ishigaki	22	22-2	8	0
may_2017_H10.bam	9	ishigaki	44	44-2	8	0
may_2017_H11.bam	9	yonaguni	89	89-4	8	0
may_2017_H12.bam	9	ishigaki	22	22-2	8	0
A03.bam	9	yonaguni	87	87-3	9	0
A05.bam	9	yonaguni	89	89-3	9	0
B03.bam	9	yonaguni	87	87-3	9	0
dec_2016_D01.bam	9	iriomote	72	72-16	9	0
dec_2016_D02.bam	9	iriomote	72	72-16	9	0
dec_2016_D03.bam	9	ishigaki	44	44-1	9	0
dec_2016_D04.bam	9	ishigaki	44	44-1	9	0
dec_2016_D05.bam	9	ishigaki	44	44-1	9	0
dec_2016_D10.bam	9	yonaguni	89	89-2	9	0
may_2017_A11.bam	9	ishigaki	22	22-2	9	0
may_2017_A12.bam	9	iriomote	72	72-17	9	0
may_2017_B11.bam	9	ishigaki	22	22-2	9	1
may_2017_B12.bam	9	ishigaki	22	22-2	9	0
may_2017_C11.bam	9	iriomote	72	72-17	9	1
may_2017_C12.bam	9	ishigaki	44	44-1	9	0
may_2017_D11.bam	9	iriomote	72	72-17	9	1
may_2017_D12.bam	9	ishigaki	44	44-2	9	0
may_2017_E11.bam	9	iriomote	72	72-16	9	0
may_2017_E12.bam	9	ishigaki	44	44-2	9	0
may_2017_F11.bam	9	yonaguni	89	89-4	9	0
may_2017_G12.bam	9	ishigaki	22	22-2	9	0
may_2017_H10.bam	9	ishigaki	44	44-2	9	0
may_2017_H11.bam	9	yonaguni	89	89-4	9	0
may_2017_H12.bam	9	ishigaki	22	22-2	9	0
A03.bam	12	yonaguni	87	87-3	1	0
A05.bam	12	yonaguni	89	89-3	1	0
B03.bam	12	yonaguni	87	87-3	1	1
dec_2016_D01.bam	12	iriomote	72	72-16	1	1
dec_2016_D02.bam	12	iriomote	72	72-16	1	0
dec_2016_D03.bam	12	ishigaki	44	44-1	1	0
dec_2016_D04.bam	12	ishigaki	44	44-1	1	0
dec_2016_D05.bam	12	ishigaki	44	44-1	1	0
dec_2016_D10.bam	12	yonaguni	89	89-2	1	0
may_2017_A11.bam	12	ishigaki	22	22-2	1	0
may_2017_A12.bam	12	iriomote	72	72-17	1	1
may_2017_B11.bam	12	ishigaki	22	22-2	1	0
may_2017_B12.bam	12	ishigaki	22	22-2	1	1
may_2017_C11.bam	12	iriomote	72	72-17	1	0
may_2017_C12.bam	12	ishigaki	44	44-1	1	0
may_2017_D11.bam	12	iriomote	72	72-17	1	0
may_2017_D12.bam	12	ishigaki	44	44-2	1	0
may_2017_E11.bam	12	iriomote	72	72-16	1	1
may_2017_E12.bam	12	ishigaki	44	44-2	1	0
may_2017_F11.bam	12	yonaguni	89	89-4	1	0
may_2017_G12.bam	12	ishigaki	22	22-2	1	0
may_2017_H10.bam	12	ishigaki	44	44-2	1	1
may_2017_H11.bam	12	yonaguni	89	89-4	1	1
may_2017_H12.bam	12	ishigaki	22	22-2	1	0
A03.bam	12	yonaguni	87	87-3	2	0
