scaffold,start,end,mid,sites,pi_all,species
I,4020001,4030000,4027382,1375,0.0061,C. inopinata
I,4030001,4040000,4034002,1873,0.0112,C. inopinata
I,4040001,4050000,4044878,584,0.0124,C. inopinata
I,4050001,4060000,4058531,1037,0.0044,C. inopinata
I,4060001,4070000,4063618,1127,0.0152,C. inopinata
I,4080001,4090000,4085903,258,0.011,C. inopinata
I,4100001,4110000,4106993,846,0.0093,C. inopinata
I,4130001,4140000,4130958,200,0.0115,C. inopinata
I,4160001,4170000,4167242,567,0.0079,C. inopinata
I,4170001,4180000,4178142,388,0.0091,C. inopinata
I,4180001,4190000,4182883,1239,0.0091,C. inopinata
I,4190001,4200000,4196177,1077,0.0096,C. inopinata
I,4200001,4210000,4203808,1523,0.0086,C. inopinata
I,4210001,4220000,4213337,397,0.0049,C. inopinata
I,4220001,4230000,4225268,1437,0.0163,C. inopinata
I,4310001,4320000,4313507,592,0.0215,C. inopinata
I,4330001,4340000,4333476,446,0.0053,C. inopinata
I,4340001,4350000,4345356,413,0.0126,C. inopinata
I,4350001,4360000,4352880,398,0.0099,C. inopinata
I,4360001,4370000,4361128,177,0.0091,C. inopinata
I,4370001,4380000,4373847,570,0.0153,C. inopinata
I,4380001,4390000,4387034,201,0.0179,C. inopinata
I,4390001,4400000,4397239,411,0.0047,C. inopinata
I,4400001,4410000,4407395,798,0.0141,C. inopinata
I,4420001,4430000,4425748,586,0.0028,C. inopinata
I,4430001,4440000,4435011,1285,0.0092,C. inopinata
I,4450001,4460000,4454964,717,0.0145,C. inopinata
I,4460001,4470000,4461225,299,0.0218,C. inopinata
I,4470001,4480000,4473108,433,0.0181,C. inopinata
I,4500001,4510000,4503238,203,0.0497,C. inopinata
I,4520001,4530000,4521004,509,0.0292,C. inopinata
I,4540001,4550000,4547575,1239,0.0112,C. inopinata
I,4550001,4560000,4553538,724,0.0046,C. inopinata
I,4560001,4570000,4560598,210,0.0134,C. inopinata
I,4600001,4610000,4604804,1056,0.0171,C. inopinata
I,4620001,4630000,4626642,1837,0.0083,C. inopinata
I,4630001,4640000,4631786,265,0.0151,C. inopinata
I,4640001,4650000,4644285,882,0.0086,C. inopinata
I,4650001,4660000,4654043,670,0.0051,C. inopinata
I,4660001,4670000,4665118,460,0.0103,C. inopinata
I,4700001,4710000,4702202,532,0.0053,C. inopinata
I,4710001,4720000,4715738,191,0.0047,C. inopinata
I,4740001,4750000,4747364,229,0.0097,C. inopinata
I,4750001,4760000,4754740,576,0.0259,C. inopinata
I,4760001,4770000,4764292,291,0.0032,C. inopinata
I,4810001,4820000,4816394,1004,0.0061,C. inopinata
I,4900001,4910000,4903385,741,0.0041,C. inopinata
I,4910001,4920000,4912109,300,0.0187,C. inopinata
I,4920001,4930000,4927061,703,0.0194,C. inopinata
I,4940001,4950000,4943209,178,0.0013,C. inopinata
I,5060001,5070000,5065566,305,0.0033,C. inopinata
I,5070001,5080000,5073923,510,0.0086,C. inopinata
I,5080001,5090000,5083705,894,0.014,C. inopinata
I,5140001,5150000,5144790,895,0.0068,C. inopinata
I,5150001,5160000,5154985,420,0.0026,C. inopinata
I,5160001,5170000,5165804,1406,0.0055,C. inopinata
I,5170001,5180000,5173428,1599,0.0038,C. inopinata
I,5180001,5190000,5183537,413,0.0038,C. inopinata
I,5200001,5210000,5204089,206,0.0012,C. inopinata
I,5210001,5220000,5214221,822,0.0042,C. inopinata
I,5270001,5280000,5273339,170,0.0077,C. inopinata
I,5280001,5290000,5281658,255,0.0294,C. inopinata
I,5330001,5340000,5336655,1487,0.0023,C. inopinata
I,5340001,5350000,5343235,1601,0.0122,C. inopinata
I,5350001,5360000,5355877,901,0.0101,C. inopinata
I,5360001,5370000,5361053,726,0.0026,C. inopinata
I,5370001,5380000,5378404,196,0.0045,C. inopinata
I,5380001,5390000,5382825,982,0.0079,C. inopinata
I,5400001,5410000,5407972,414,0.0074,C. inopinata
I,5410001,5420000,5414670,802,0.0194,C. inopinata
I,5420001,5430000,5426746,1213,0.0096,C. inopinata
I,5430001,5440000,5436631,213,0.0116,C. inopinata
I,5470001,5480000,5476392,723,0.0019,C. inopinata
I,5480001,5490000,5482458,288,0.0022,C. inopinata
I,5490001,5500000,5492610,512,0.0096,C. inopinata
I,5500001,5510000,5500497,271,0.0241,C. inopinata
I,5510001,5520000,5511238,489,0.035,C. inopinata
I,5520001,5530000,5521473,188,0.0252,C. inopinata
I,5530001,5540000,5535859,652,0.022,C. inopinata
I,5540001,5550000,5547894,483,0.0046,C. inopinata
I,5550001,5560000,5556593,1871,0.0139,C. inopinata
I,5560001,5570000,5563378,944,0.0133,C. inopinata
I,5570001,5580000,5577732,511,0.0056,C. inopinata
I,5580001,5590000,5586621,1937,0.0106,C. inopinata
I,5590001,5600000,5595975,246,0.0024,C. inopinata
I,5610001,5620000,5616219,488,0.0073,C. inopinata
I,5630001,5640000,5631881,299,0.0162,C. inopinata
I,5640001,5650000,5646662,1277,0.0162,C. inopinata
I,5700001,5710000,5705979,210,0.0031,C. inopinata
I,5710001,5720000,5715387,424,0.0237,C. inopinata
I,5720001,5730000,5727117,393,0.0164,C. inopinata
I,5770001,5780000,5775098,1567,0.0091,C. inopinata
I,5780001,5790000,5783868,572,0.0069,C. inopinata
I,5790001,5800000,5794558,831,0.0204,C. inopinata
I,5800001,5810000,5803919,1770,0.0067,C. inopinata
I,5830001,5840000,5833546,563,0.0138,C. inopinata
I,5890001,5900000,5895603,512,0.0151,C. inopinata
I,5900001,5910000,5909104,261,0.0337,C. inopinata
I,5910001,5920000,5915074,1723,0.0229,C. inopinata
I,5940001,5950000,5945056,306,0.0207,C. inopinata
I,6000001,6010000,6006907,281,0.0224,C. inopinata
I,6030001,6040000,6033198,497,0.0273,C. inopinata
I,6100001,6110000,6103627,1256,0.0044,C. inopinata
I,6110001,6120000,6115714,929,0.0085,C. inopinata
I,6150001,6160000,6156585,1038,0.0087,C. inopinata
I,6160001,6170000,6164785,444,0.0156,C. inopinata
I,6170001,6180000,6172825,1391,0.0056,C. inopinata
I,6180001,6190000,6188007,202,0.0029,C. inopinata
I,6210001,6220000,6216924,768,0.0235,C. inopinata
I,6220001,6230000,6222684,697,0.0063,C. inopinata
I,6230001,6240000,6231413,677,0.0162,C. inopinata
I,6250001,6260000,6256494,353,0.0158,C. inopinata
I,6260001,6270000,6264229,276,0.013,C. inopinata
I,6270001,6280000,6277046,688,0.0053,C. inopinata
I,6290001,6300000,6296562,1269,0.0066,C. inopinata
I,6310001,6320000,6313418,1605,0.011,C. inopinata
I,6320001,6330000,6322957,1408,0.008,C. inopinata
I,6330001,6340000,6335944,2231,0.0086,C. inopinata
I,6340001,6350000,6349559,275,0.0008,C. inopinata
I,6350001,6360000,6355937,1707,0.014,C. inopinata
I,6360001,6370000,6365334,166,0.0281,C. inopinata
I,6370001,6380000,6372844,437,0.0175,C. inopinata
I,6400001,6410000,6402783,723,0.0123,C. inopinata
I,6410001,6420000,6418571,209,0.0147,C. inopinata
I,6420001,6430000,6427205,1219,0.0081,C. inopinata
I,6430001,6440000,6433229,2549,0.0091,C. inopinata
I,6440001,6450000,6446988,864,0.0118,C. inopinata
I,6450001,6460000,6456698,570,0.0041,C. inopinata
I,6460001,6470000,6463550,886,0.0022,C. inopinata
I,6470001,6480000,6475159,688,0.0179,C. inopinata
I,6490001,6500000,6493365,440,0.0041,C. inopinata
I,6510001,6520000,6518168,222,0.0044,C. inopinata
I,6530001,6540000,6536700,538,0.0023,C. inopinata
I,6540001,6550000,6543118,1193,0.0046,C. inopinata
I,6550001,6560000,6552440,1152,0.0067,C. inopinata
I,6560001,6570000,6563789,274,0.0348,C. inopinata
I,6600001,6610000,6608055,250,0.0051,C. inopinata
I,6620001,6630000,6627478,1248,0.0122,C. inopinata
I,6630001,6640000,6634872,1321,0.0183,C. inopinata
I,6640001,6650000,6643231,513,0.0302,C. inopinata
I,6650001,6660000,6655014,343,0.0007,C. inopinata
I,6670001,6680000,6677085,1436,0.0101,C. inopinata
I,6680001,6690000,6681534,421,0.0134,C. inopinata
I,6690001,6700000,6694814,756,0.022,C. inopinata
I,6700001,6710000,6706363,610,0.0114,C. inopinata
I,6710001,6720000,6714159,913,0.0052,C. inopinata
I,6720001,6730000,6722133,540,0.0031,C. inopinata
I,6730001,6740000,6736823,2234,0.0039,C. inopinata
I,6740001,6750000,6745823,2245,0.0053,C. inopinata
I,6750001,6760000,6753506,1379,0.0082,C. inopinata
I,6760001,6770000,6764994,1223,0.0067,C. inopinata
I,6770001,6780000,6772511,1465,0.013,C. inopinata
I,6780001,6790000,6784581,374,0.0179,C. inopinata
I,6790001,6800000,6792535,499,0.0083,C. inopinata
I,6800001,6810000,6807361,416,0.0065,C. inopinata
I,6810001,6820000,6816442,1133,0.0135,C. inopinata
I,6820001,6830000,6823605,1108,0.0101,C. inopinata
I,6830001,6840000,6834722,403,0.0144,C. inopinata
I,6890001,6900000,6895069,174,0.0431,C. inopinata
I,6900001,6910000,6903778,1041,0.0133,C. inopinata
I,6910001,6920000,6914597,191,0.0362,C. inopinata
I,6930001,6940000,6938119,680,0.0189,C. inopinata
I,6960001,6970000,6966138,516,0.0119,C. inopinata
I,6970001,6980000,6976125,1364,0.0022,C. inopinata
I,6980001,6990000,6984284,434,0.005,C. inopinata
I,7000001,7010000,7003502,606,0.018,C. inopinata
I,7020001,7030000,7026856,333,0.0262,C. inopinata
I,7040001,7050000,7045134,379,0.0092,C. inopinata
I,7050001,7060000,7054359,525,0.0058,C. inopinata
I,7060001,7070000,7063361,680,0.0078,C. inopinata
I,7080001,7090000,7084245,557,0.0011,C. inopinata
I,7090001,7100000,7097663,814,0.0084,C. inopinata
I,7100001,7110000,7105127,368,0.0118,C. inopinata
I,7110001,7120000,7116359,928,0.0112,C. inopinata
I,7120001,7130000,7121994,395,0.008,C. inopinata
I,7140001,7150000,7148098,1019,0.0129,C. inopinata
I,7160001,7170000,7164379,1470,0.0085,C. inopinata
I,7180001,7190000,7185702,921,0.0137,C. inopinata
I,7190001,7200000,7196140,840,0.011,C. inopinata
I,7200001,7210000,7205891,255,0.0071,C. inopinata
I,7210001,7220000,7216328,225,0.0168,C. inopinata
I,7220001,7230000,7227318,220,0.0171,C. inopinata
I,7230001,7240000,7231989,890,0.0222,C. inopinata
I,7240001,7250000,7248041,337,0.0076,C. inopinata
I,7260001,7270000,7263510,1602,0.0147,C. inopinata
I,7270001,7280000,7273232,987,0.0111,C. inopinata
I,7280001,7290000,7284355,1026,0.0168,C. inopinata
I,7290001,7300000,7296079,1221,0.0055,C. inopinata
I,7300001,7310000,7305243,1230,0.0088,C. inopinata
I,7310001,7320000,7311632,768,0.0085,C. inopinata
I,7320001,7330000,7325034,1649,0.0017,C. inopinata
I,7420001,7430000,7421438,225,0.0189,C. inopinata
I,7520001,7530000,7529235,172,0.0252,C. inopinata
I,7530001,7540000,7536507,456,0.0076,C. inopinata
I,7540001,7550000,7546213,497,0.004,C. inopinata
I,7560001,7570000,7564731,950,0.016,C. inopinata
I,7590001,7600000,7597185,160,0.0087,C. inopinata
I,7600001,7610000,7604787,667,0.0109,C. inopinata
I,7630001,7640000,7634613,1236,0.0212,C. inopinata
I,7640001,7650000,7646247,382,0.0077,C. inopinata
I,7650001,7660000,7654858,419,0.0048,C. inopinata
I,7660001,7670000,7668958,216,0.0092,C. inopinata
I,7670001,7680000,7675908,1032,0.004,C. inopinata
I,7690001,7700000,7694546,1221,0.0107,C. inopinata
I,7700001,7710000,7704772,1245,0.0134,C. inopinata
I,7710001,7720000,7717495,1237,0.0105,C. inopinata
I,7720001,7730000,7728856,345,0.0227,C. inopinata
I,7750001,7760000,7755493,518,0.0055,C. inopinata
I,7780001,7790000,7783944,188,0.0142,C. inopinata
I,7820001,7830000,7824424,834,0.0017,C. inopinata
I,7850001,7860000,7850895,171,0.0272,C. inopinata
I,7860001,7870000,7867841,437,0.0167,C. inopinata
I,7910001,7920000,7911154,250,0.0091,C. inopinata
I,7920001,7930000,7922914,533,0.0117,C. inopinata
I,7930001,7940000,7933949,971,0.01,C. inopinata
I,7970001,7980000,7978630,426,0.0119,C. inopinata
I,7980001,7990000,7985413,1757,0.0039,C. inopinata
I,7990001,8000000,7996998,462,0.01,C. inopinata
I,8000001,8010000,8008322,386,0.011,C. inopinata
I,8010001,8020000,8013430,565,0.0329,C. inopinata
I,8020001,8030000,8024770,734,0.0059,C. inopinata
I,8030001,8040000,8039017,347,0.0146,C. inopinata
I,8040001,8050000,8044511,842,0.0222,C. inopinata
I,8050001,8060000,8051030,315,0.0097,C. inopinata
I,8060001,8070000,8066039,259,0.0038,C. inopinata
I,8070001,8080000,8072932,717,0.0125,C. inopinata
I,8080001,8090000,8083132,458,0.0229,C. inopinata
I,8090001,8100000,8090419,279,0.0161,C. inopinata
I,8120001,8130000,8128908,188,0.0058,C. inopinata
I,8140001,8150000,8146775,357,0.0025,C. inopinata
I,8160001,8170000,8168356,1080,0.0081,C. inopinata
